CITY_NAME	GENERIC_LOCATION_CODE	TIME_ZONE	STATUS_CODE	COUNTRY_CODE	DAYS_OF_WEEK_OF_OPERATION	DEFAULT_LONG_NAME	DEFAULT_SHORT_NAME	EMAIL	FAX_NUMBER	ADDRESS	LATITUDE	LOCATION_TYPE_CODE	LONGITUDE	MINIMUM_CONNECTION_TIME	PHONE_NUMBER	POSTAL_CODE	PROVINCE_STATE_CODE	DATA_OWNER	CODE_VALUE	CODE_CONTEXT
	469055	CET	1	DE		Cronheim Schloss, Gu	Cronheim Schloss, Gu				490546N	29	103951E					NVS	469055	UIC
	470327	CET	1	DE		Abzw. Niederhausen,	Abzw. Niederhausen,				505133N	29	073417E					NVS	470327	UIC
	473295	CET	1	DE		Plankstetten Abtei,	Plankstetten Abtei,				490412N	29	112716E					NVS	473295	UIC
	8004831	CET	2	DE		Plankstetten	Plankstetten				490412N	29	112716E					NVS	8004831	UIC
	476255	CET	1	DE		Rathaus, Bischofsgrü	Rathaus, Bischofsgr				500304N	29	114754E					NVS	476255	UIC
	477055	CET	1	DE		Marktplatz, Dachsbac	Marktplatz, Dachsbac				493827N	29	104220E					NVS	477055	UIC
	8001356	CET	2	DE		Dachsbach	Dachsbach				493827N	29	104220E					NVS	8001356	UIC
	479927	CET	1	DE		Stambach Gh Stöckle,	Stambach Gh Stöckle				491432N	29	072722E					NVS	479927	UIC
	483029	CET	1	DE		Zentrum, Wilnsdorf	Zentrum, Wilnsdorf				504906N	29	080627E					NVS	483029	UIC
	483455	CET	1	DE		Marktplatz, Isny im	Marktplatz, Isny im				474131N	29	100222E					NVS	483455	UIC
	846587	CET	1	DE		Marktplatz, Isny im	Marktplatz, Isny im				474131N	29	100222E					NVS	846587	UIC
	490151	CET	1	DE		Rengers (L318), Isny	Rengers (L318), Isny				474306N	29	100324E					NVS	490151	UIC
	490389	CET	1	DE		Rathaus, Bisingen	Rathaus, Bisingen				483557N	29	092928E					NVS	490389	UIC
	492140	CET	1	DE		Eisenharz Eglofser S	Eisenharz Eglofser S				474110N	29	095715E					NVS	492140	UIC
