ADDRESS	TIME_ZONE	CITY_NAME	STATUS_CODE	PROVINCE_STATE_CODE	COUNTRY_CODE	DAYS_OF_WEEK_OF_OPERATION	DAFAULT_LONG_NAME	DAFAULT_SHORT_NAME	EMAIL	FAX_NUMBER	GENERIC_LOCATION_CODE	LATITUDE	LOCATION_TYPE	LONGITUDE	MINIMUM_CONNECTION_TIME	PHONE_NUMBER	POSTAL_CODE	DATA_OWNER	CODE_VALUE	CODE_CONTEXT
	CET		1		DE		Schulzentrum Möckmü	Schulzentrum Möckmü				491916N	29	092129E					833464	UIC
	CET		1		DE		Haus des Gastes Dah	Haus des Gastes Dah				000000N	29	000000E					836461	UIC
	CET		1		DE		Eutingen Rößlestaffe	Eutingen Rößlestaffe				485435N	29	084441E					940214	UIC
	CET		1		DE		Schulzentrum Haßfur	Schulzentrum Haßfur				500159N	29	103035E					945255	UIC
	CET		1		DE		Bahnhof Hofheim i.	Bahnhof Hofheim i.				500503N	29	082640E					945272	UIC
	CET		1		DE		Busbahnhof Oberhof	Busbahnhof Oberhof				504103N	29	104234E					996301	UIC
	CET		1		DE		Bahnhof Zella-Mehli	Bahnhof Zella-Mehli				503847N	29	104029E					996594	UIC
	CET		1		RU		Riabovo	Riabovo				000000N	29	000000E					2020601	UIC
	CET		1		RU		Apetenok	Apetenok				543222N	29	1284124E					2021064	UIC
	CET		1		RU		Ost.Punkt 162 km	Ost.Punkt 162 km				000000N	29	000000E					2024294	UIC
	CET		1		RU		Ost.Punkt 217 km	Ost.Punkt 217 km				000000N	29	000000E					2027544	UIC
	CET		1		RU		Varwnikovskaia	Varwnikovskaia				000000N	29	000000E					2027799	UIC
	CET		1		RU		Ushaki	Ushaki				593101N	29	305423E					2028600	UIC
	CET		1		RU		Miasnoi Bor	Miasnoi Bor				584900N	29	312752E					2028671	UIC
	CET		1		RU		Ijak	Ijak				000000N	29	000000E					2029064	UIC
	CET		1		RU		Irsa	Irsa				592715N	29	315415E					2031086	UIC
	CET		1		RU		Pavlovskaia	Pavlovskaia				460730N	29	395011E					2032382	UIC
	CET		1		RU		Sablino	Sablino				593807N	29	304526E					2036600	UIC
	CET		1		RU		Tregubovo	Tregubovo				585926N	29	313224E					2046119	UIC
	CET		1		RU		Abganerowo	Abganerowo				000000N	29	000000E					2070103	UIC
	CET		1		RU		Suhoe Ozero	Suhoe Ozero				000000N	29	000000E					2082824	UIC
	CET		1		RU		Habl	Habl				000000N	29	000000E					2090896	UIC
	CET		1		RU		Korotkoozernyi	Korotkoozernyi				000000N	29	000000E					2092424	UIC
	CET		1		RU		Briandino	Briandino				000000N	29	000000E					2093800	UIC
	CET		1		RU		Raz'ezd 64 KM	Raz'ezd 64 KM				000000N	29	000000E					2094832	UIC
	CET		1		BY		Bigosovo	Bigosovo				555001N	29	274418E					2116170	UIC
	CET		1		UA		Raz'ezd 5 KM	Raz'ezd 5 KM				000000N	29	000000E					2220368	UIC
	CET		1		UA		Darnytsia	Darnytsia				502550N	29	303837E					2232000	UIC
	CET		1		UA		Sviatoshyn	Sviatoshyn				502728N	29	302321E					2232240	UIC
	CET		1		UA		Larga(Gr)	Larga(Gr)				000000N	29	000000E					2236750	UIC
	CET		1		UA		Lvov	Lvov				495023N	29	235939E					2250025	UIC
	CET		1		UA		Ternopol	Ternopol				493313N	29	253602E					2250028	UIC
	CET		1		UA		Vinnica	Vinnica				491421N	29	283038E					2250036	UIC
	CET		1		UA		Djankoi	Djankoi				000000N	29	000000E					2250045	UIC
	CET		1		UA		Podzamche	Podzamche				495104N	29	240210E					2250106	UIC
	CET		1		UA		Jagodin	Jagodin				511153N	29	235345E					2250124	UIC
	CET		1		UA		Chernovcy	Chernovcy				481803N	29	255548E					2250149	UIC
	CET		1		UA		Jitomir	Jitomir				501607N	29	284151E					2250152	UIC
	CET		1		UA		Luck	Luck				000000N	29	000000E					2250153	UIC
	CET		1		UA		Rovno	Rovno				503739N	29	261423E					2250154	UIC
	CET		1		UA		Berdichev	Berdichev				495321N	29	283646E					2250160	UIC
	CET		1		UA		Ivano-Frankovsk	Ivano-Frankovsk				485531N	29	244324E					2250165	UIC
	CET		1		UA		Zdolbunov	Zdolbunov				503140N	29	261525E					2250179	UIC
	CET		1		UA		Grebenka	Grebenka				500718N	29	322559E					2250183	UIC
	CET		1		UA		Kivercy	Kivercy				504917N	29	252631E					2250188	UIC
	CET		1		UA		Chernigov	Chernigov				512909N	29	311602E					2250195	UIC
	CET		1		UA		Nejin	Nejin				510104N	29	315319E					2250196	UIC
	CET		1		UA		Slobodka	Slobodka				485531N	29	244324E					2250203	UIC
	CET		1		UA		Kuchurgan	Kuchurgan				464513N	29	300008E					2250216	UIC
	CET		1		UA		Zernovo	Zernovo				000000N	29	000000E					2250218	UIC
	CET		1		UA		Herson	Herson				463748N	29	323406E					2250261	UIC
	CET		1		UA		Kremenchug	Kremenchug				490446N	29	332627E					2250368	UIC
	CET		1		UA		Mirgorod	Mirgorod				495659N	29	333721E					2250405	UIC
	CET		1		UA		Priluki	Priluki				503453N	29	322301E					2250456	UIC
	CET		1		UA		Sambor	Sambor				493100N	29	231243E					2250477	UIC
	CET		1		UA		Svaliava	Svaliava				483304N	29	225906E					2250517	UIC
	CET		1		UA		Ujgorod	Ujgorod				483634N	29	221802E					2250542	UIC
	CET		1		UA		Verhovcevo	Verhovcevo				000000N	29	000000E					2250550	UIC
	CET		1		UA		Larga	Larga				482552N	29	265101E					2250747	UIC
	CET		1		UA		Chervonograd	Chervonograd				502348N	29	241344E					2250775	UIC
	CET		1		UA		Iaremcha	Iaremcha				482656N	29	243309E					2250779	UIC
	CET		1		UA		Galich	Galich				490812N	29	244356E					2250811	UIC
	CET		1		UA		Gnidawa	Gnidawa				000000N	29	000000E					2251456	UIC
	CET		1		UA		Mechetnaia	Mechetnaia				000000N	29	000000E					2280128	UIC
	CET		1		UA		Persenkovka	Persenkovka				000000N	29	000000E					2281480	UIC
	CET		1		UA		Snamenka 1	Snamenka 1				000000N	29	000000E					2281771	UIC
	CET		1		UA		Nikolaevo	Nikolaevo				472006N	29	310618E					2291462	UIC
	CET		1		KZ		Nikeltau	Nikeltau				000000N	29	000000E					2750683	UIC
	CET		1		KZ		Khromtau	Khromtau				000000N	29	000000E					2750695	UIC
	CET		1		KZ		Akkudik 1	Akkudik 1				000000N	29	000000E					2750697	UIC
	CET		1		KZ		Ajteke Bi	Ajteke Bi				502530N	29	602910E					2750698	UIC
	CET		1		KZ		Ajke	Ajke				000000N	29	000000E					2750699	UIC
	CET		1		KZ		Altinsarin	Altinsarin				431335N	29	765146E					2750701	UIC
	CET		1		KZ		Arka	Arka				494620N	29	730835E					2750702	UIC
	CET		1		KZ		Lisakovsk	Lisakovsk				523208N	29	622905E					2750706	UIC
	CET		1		KZ		Aksengir	Aksengir				432027N	29	765656E					2785736	UIC
	CET		1		PL		Mrozy	Mrozy				520952N	29	214809E					5103987	UIC
	CET		1		PL		Chotylow	Chotylow				515948N	29	232131E					5104094	UIC
	CET		1		PL		Swidnik Wschod	Swidnik Wschod				511315N	29	224251E					5105049	UIC
	CET		1		PL		Boguchwala	Boguchwala				495902N	29	215604E					5108272	UIC
	CET		1		PL		Strzyzow n. Wisl.	Strzyzow n. Wisl.				000000N	29	000000E					5108278	UIC
	CET		1		PL		Krosno Miasto	Krosno Miasto				494057N	29	214624E					5108353	UIC
	CET		1		PL		Sanok Miasto	Sanok Miasto				493323N	29	221152E					5108363	UIC
	CET		1		PL		Tarnawa Dolna	Tarnawa Dolna				492841N	29	221531E					5108401	UIC
	CET		1		PL		Czaszyn	Czaszyn				492733N	29	221310E					5108403	UIC
	CET		1		PL		Morochow	Morochow				493048N	29	221552E					5108404	UIC
	CET		1		PL		Mokre Malopolskie	Mokre Malopolskie				492648N	29	221004E					5108405	UIC
	CET		1		PL		Wysoczany	Wysoczany				492609N	29	220903E					5108407	UIC
	CET		1		PL		Szczawne Kulaszne	Szczawne Kulaszne				492423N	29	220836E					5108408	UIC
	CET		1		PL		Komancza Letnisko	Komancza Letnisko				492046N	29	220450E					5108411	UIC
	CET		1		PL		Oslawica	Oslawica				491641N	29	220426E					5108413	UIC
	CET		1		PL		Radzice	Radzice				503306N	29	224355E					5135146	UIC
	CET		1		PL		Otmuch≤w Jezioro	Otmuch≤w Jezioro				000000N	29	000000E					5140426	UIC
	CET		1		PL		Otmuch≤w	Otmuch≤w				502827N	29	170901E					5145120	UIC
	CET		1		PL		Babiak	Babiak				522112N	29	184011E					5150351	UIC
	CET		1		PL		Brodnica	Brodnica				000000N	29	000000E					5150401	UIC
	CET		1		PL		Hrubiesz≤w Miasto	Hrubiesz≤w Miasto				504749N	29	235432E					5151345	UIC
	CET		1		PL		Inowroclaw Rabinek	Inowroclaw Rabinek				524612N	29	181427E					5151362	UIC
	CET		1		PL		Leba	Leba				544524N	29	173309E					5151977	UIC
	CET		1		PL		Piotrkow Kujawski	Piotrkow Kujawski				523215N	29	183110E					5152768	UIC
	CET		1		PL		Paczk≤w	Paczk≤w				000000N	29	000000E					5153306	UIC
	CET		1		PL		Werbkowice	Werbkowice				504443N	29	234603E					5153975	UIC
	CET		1		PL		Doboszowice	Doboszowice				503210N	29	165401E					5171930	UIC
	CET		1		PL		Goswinowice	Goswinowice				502841N	29	171521E					5180098	UIC
	CET		1		PL		W≤jcice	W≤jcice				000000N	29	000000E					5180754	UIC
	CET		1		BG		Harmanli Centrum	Harmanli Centrum				000000N	29	000000E					5264906	UIC
	CET		1		BG		Iskarsko Shose	Iskarsko Shose				424006N	29	232407E					5266905	UIC
	CET		1		BG		Podujane Tovarna	Podujane Tovarna				000000N	29	000000E					5285351	UIC
	CET		1		RO		Campulung	Campulung				451534N	29	250214E					5313514	UIC
	CET		1		RO		Cobuz	Cobuz				435843N	29	225725E					5365146	UIC
	CET		1		CZ		Waidhaus(Gr)	Waidhaus(Gr)				000000N	29	000000E					5406141	UIC
	CET		1		CZ		Zabori u Cicenic	Zabori u Cicenic				000000N	29	000000E					5425906	UIC
	CET		1		CZ		Brno-Hor.Herspice	Brno-Hor.Herspice				000000N	29	000000E					5433305	UIC
	CET		1		CZ		Cervenka	Cervenka				000000N	29	000000E					5433312	UIC
	CET		1		CZ		Brno-Zidenice	Brno-Zidenice				000000N	29	000000E					5433395	UIC
	CET		1		CZ		Jirikov	Jirikov				000000N	29	000000E					5433520	UIC
	CET		1		CZ		Lipnik n.B.	Lipnik n.B.				000000N	29	000000E					5434042	UIC
	CET		1		CZ		Mohelnice	Mohelnice				000000N	29	000000E					5434282	UIC
	CET		1		CZ		Brno dolni n.	Brno dolni n.				000000N	29	000000E					5438015	UIC
	CET		1		CZ		Rumburk(Gr)	Rumburk(Gr)				000000N	29	000000E					5450499	UIC
	CET		1		CZ		Mezimesti(Gr)	Mezimesti(Gr)				000000N	29	000000E					5450720	UIC
	CET		1		CZ		Praha-Bubny Vlt.	Praha-Bubny Vlt.				000000N	29	000000E					5454136	UIC
	CET		1		CZ		Praha-Bubny Vltavskß	Praha-Bubny Vltavskß				000000N	29	000000E					5454137	UIC
	CET		1		CZ		Praha Mas.n.	Praha Mas.n.				000000N	29	000000E					5457236	UIC
