CITY_NAME|GENERIC_LOCATION_CODE|TIME_ZONE|STATUS_CODE|COUNTRY_CODE|DAYS_OF_WEEK_OF_OPERATION|DEFAULT_LONG_NAME|DEFAULT_SHORT_NAME|EMAIL|FAX_NUMBER|ADDRESS|LATITUDE|LOCATION_TYPE_CODE|LONGITUDE|MINIMUM_CONNECTION_TIME|PHONE_NUMBER|POSTAL_CODE|PROVINCE_STATE_CODE|DATA_OWNER|CODE_VALUE|CODE_CONTEXT
|80G0015|CET|1|DE||BREMERHAVEN|BREMERHAVEN||||533212N|26|083559E|||||FRR|801A014|RDS
|80G0014|CET|1|DE||BONN|BONN||||504411N|26|070452E|||||FRR|801A015|RDS
|80G0006|CET|1|DE||ASCHAFFENBURG|ASCHAFFENBURG||||495828N|26|090937E|||||FRR|801A016|RDS
|80G0007|CET|1|DE||AUGSBURG|AUGSBURG||||482018N|26|105309E|||||FRR|801A017|RDS
|80G0011|CET|1|DE||BIELEFELD|BIELEFELD||||520411N|26|083622E|||||FRR|801A018|RDS
|80G0021|CET|1|DE||DORTMUND|DORTMUND||||513104N|26|072732E|||||FRR|801A019|RDS
|80G0037|CET|1|DE||HILDESHEIM|HILDESHEIM||||520903N|26|095652E|||||FRR|801A020|RDS
|80G0038|CET|1|DE||KAISERSLAUTERN|KAISERSLAUTERN||||492604N|26|074504E|||||FRR|801A021|RDS
|80G0054|CET|1|DE||NUREMBERG|NUREMBERG||||492508N|26|110330E|||||FRR|801A022|RDS
|80G0055|CET|1|DE||OBERHAUSEN|OBERHAUSEN||||512919N|26|065227E|||||FRR|801A023|RDS
|80G0057|CET|1|DE||PASSAU|PASSAU||||483426N|26|132702E|||||FRR|801A024|RDS
|80G0062|CET|1|DE||REGENSBURG|REGENSBURG||||490044N|26|120551E|||||FRR|801A025|RDS
|80G0029|CET|1|DE||FREUDENSTADT|FREUDENSTADT||||482753N|26|082606E|||||FRR|801A026|RDS
|80G0033|CET|1|DE||HANOVRE|HANOVRE||||522429N|26|094131E|||||FRR|801A027|RDS
|80G0032|CET|1|DE||HAMBOURG|HAMBOURG||||533849N|26|100718E|||||FRR|801A028|RDS
|80G0034|CET|1|DE||HEIDELBERG|HEIDELBERG||||492438N|26|084243E|||||FRR|801A029|RDS
|80G0036|CET|1|DE||HERSBRUCK|HERSBRUCK||||493638N|26|113105E|||||FRR|801A030|RDS
|80G0039|CET|1|DE||KASSEL|KASSEL||||511843N|26|092653E|||||FRR|801A031|RDS
|80G0040|CET|1|DE||KEHL|KEHL||||483436N|26|074825E|||||FRR|801A032|RDS
|80G0041|CET|1|DE||KREFELD|KREFELD||||511929N|26|063413E|||||FRR|801A033|RDS
|8014228|CET|1|DE||KARLSRUHE|KARLSRUHE||||485936N|26|082406E|||||FRR|801A034|RDS
|80G0020|CET|1|DE||CONSTANCE|CONSTANCE||||473932N|26|091037E|||||FRR|801A035|RDS
|80G0044|CET|1|DE||LIMBURG|LIMBURG||||502256N|26|080544E|||||FRR|801A036|RDS
|80G0045|CET|1|DE||LUBECK|LUBECK||||535158N|26|104009E|||||FRR|801A037|RDS
|8001093|CET|1|DE||LEVERKUSEN|LEVERKUSEN||||533307N|26|095604E|||||FRR|801A038|RDS
|80G0048|CET|1|DE||MITTENWALD|MITTENWALD||||472624N|26|111556E|||||FRR|801A039|RDS
|80G0030|CET|1|DE||FRIBOURG EN BRISGAU|FRIBOURG EN BRISGAU||||475953N|26|075032E|||||FRR|801A040|RDS
|80G0059|CET|1|DE||PFRONTEN|PFRONTEN||||473354N|26|103431E|||||FRR|801A041|RDS
|80G0058|CET|1|DE||PFORZHEIM|PFORZHEIM||||485337N|26|084210E|||||FRR|801A042|RDS
|80G0061|CET|1|DE||PUTTGARDEN|PUTTGARDEN||||543012N|26|111345E|||||FRR|801A043|RDS
|80G0070|CET|1|DE||ULM|ULM||||482425N|26|095940E|||||FRR|801A044|RDS
|80G0073|CET|1|DE||WUERZBURG|WUERZBURG||||494803N|26|095615E|||||FRR|801A045|RDS
|80G0008|CET|1|DE||BAD REICHENHALL|BAD REICHENHALL||||474351N|26|125255E|||||FRR|801A046|RDS
|80G0063|CET|1|DE||REMSCHEID|REMSCHEID||||511040N|26|071158E|||||FRR|801A047|RDS
|8033859|CET|1|DE||SALZGITTER|SALZGITTER||||520258N|26|102220E|||||FRR|801A048|RDS
|80G0066|CET|1|DE||SOLINGEN|SOLINGEN||||510936N|26|070011E|||||FRR|801A049|RDS
|80G0069|CET|1|DE||SULZBACH ROSENBERG|SULZBACH ROSENBERG||||492958N|26|114421E|||||FRR|801A050|RDS
|8029034|CET|1|DE||STUTTGART|STUTTGART||||484659N|26|091056E|||||FRR|801A051|RDS
|80G0065|CET|1|DE||SCHWEINFURT|SCHWEINFURT||||500225N|26|101345E|||||FRR|801A052|RDS
|80G0071|CET|1|DE||WIESBADEN|WIESBADEN||||500229N|26|081522E|||||FRR|801A053|RDS
|80G0060|CET|1|DE||POTSDAM|POTSDAM||||522823N|26|130640E|||||FRR|801A054|RDS
|80G0075|CET|1|DE||LANDAU|LANDAU||||484057N|26|124142E|||||FRR|801A055|RDS
|80G0076|CET|1|DE||FRANCFORT AEROPORT|FRANCFORT AEROPORT||||500344N|26|083146E|||||FRR|801A056|RDS
|80G0077|CET|1|DE||BRAUNSCHWEIG|BRAUNSCHWEIG||||521504N|26|103211E|||||FRR|801A057|RDS
|80G0078|CET|1|DE||LAUCHRINGEN|LAUCHRINGEN||||473744N|26|081919E|||||FRR|801A058|RDS
|8103654|CET|1|AT||VILLACH|VILLACH||||463706N|26|135054E|||||FRR|811A001|RDS
|81G0006|CET|1|AT||EBENSEE|EBENSEE||||474815N|26|134617E|||||FRR|811A002|RDS
|81G0007|CET|1|AT||INNSBRUCK|INNSBRUCK||||471543N|26|112359E|||||FRR|811A003|RDS
|81G0015|CET|1|AT||VIENNE|VIENNE||||481030N|26|162007E|||||FRR|811A004|RDS
|81G0017|CET|1|AT||LINZ|LINZ||||481725N|26|141727E|||||FRR|811A005|RDS
|81G0018|CET|1|AT||ST POELTEN|ST POELTEN||||481228N|26|153728E|||||FRR|811A006|RDS
|81G0019|CET|1|AT||BREGENZ|BREGENZ||||473010N|26|094422E|||||FRR|811A007|RDS
|82G0001|CET|1|LU||BETTEMBOURG|BETTEMBOURG||||493057N|26|060605E|||||FRR|821A001|RDS
|82G0003|CET|1|LU||RODANGE|RODANGE||||493304N|26|055042E|||||FRR|821A002|RDS
|82G0002|CET|1|LU||LUXEMBOURG|LUXEMBOURG||||493801N|26|060812E|||||FRR|821A003|RDS
|83G0018|CET|1|IT||GENES|GENES||||450437N|26|074124E|||||FRR|831A001|RDS
