CODE_VALUE|DEFAULT_LONG_NAME|DEFAULT_SHORT_NAME|LOCATION_TYPE_CODE|DATA_OWNER|GENERIC_LOCATION_CODE
851A014|KLOSTERS|KLOSTERS|26|FRR|85G0029
851A016|BRIG|BRIG|26|FRR|8501609
851A018|FLIMS|FLIMS|26|FRR|85G0038
851A020|RUETI|RUETI|26|FRR|8506203
851A021|ALPNACHSTAD|ALPNACHSTAD|26|FRR|8582458
871A001|PARIS|PARIS|26|FRR|8775890
871A002|TROYES|TROYES|26|FRR|87G0509
871A003|LYON|LYON|26|FRR|8724853
871A004|ORLY|ORLY|26|FRR|87G0346
871A005|CALAIS CENTRE|CALAIS CENTRE|26|FRR|87G0072
871A006|MASSY|MASSY|26|FRR|87G0297
871A007|ST ETIENNE|ST ETIENNE|26|FRR|87G0434
871A008|NICE|NICE|26|FRR|87G0336
871A009|LANGRES|LANGRES|26|FRR|87G0230
871A010|ROMILLY|ROMILLY|26|FRR|87G0388
871A011|ST DIZIER|ST DIZIER|26|FRR|87G0432
871A012|GENEVE|GENEVE|26|FRR|87G0182
871A014|AVIGNON|AVIGNON|26|FRR|8724850
871A015|LILLE|LILLE|26|FRR|87G0270
871A018|VALENCE|VALENCE|26|FRR|8776100
871A019|BOULOGNE SUR MER|BOULOGNE SUR MER|26|FRR|87G0056
871A021|DECAZEVILLE|DECAZEVILLE|26|FRR|87G0144
871A022|VERSAILLES|VERSAILLES|26|FRR|871A022
871A023|BORDEAUX|BORDEAUX|26|FRR|87G0052
871A024|ROISSY|ROISSY|26|FRR|8711603
871A027|MARSEILLE|MARSEILLE|26|FRR|87G0293
871A028|MARNE LA VALLEE|MARNE LA VALLEE|26|FRR|87G0291
871A029|NOGENT SUR SEINE|NOGENT SUR SEINE|26|FRR|87G0339
871A030|ORLEANS|ORLEANS|26|FRR|87G0345
871A031|PONT SUR SEINE|PONT SUR SEINE|26|FRR|87G0361
871A032|CHATEAU RENAULT|CHATEAU RENAULT|26|FRR|87G0103
871A033|CARIGNAN|CARIGNAN|26|FRR|87G0082
871A034|CERGY|CERGY|26|FRR|87G0086
