ADDRESS	TIME_ZONE	CITY_NAME	STATUS_CODE	PROVINCE_STATE_CODE	COUNTRY_CODE	DAYS_OF_WEEK_OF_OPERATION	DAFAULT_LONG_NAME	DAFAULT_SHORT_NAME	EMAIL	FAX_NUMBER	GENERIC_LOCATION_CODE	LATITUDE	LOCATION_TYPE	LONGITUDE	MINIMUM_CONNECTION_TIME	PHONE_NUMBER	POSTAL_CODE	DATA_OWNER	CODE_VALUE	CODE_CONTEXT
	CET		1		DE		Karlsruhe Mühlburger Tor	Karlsruhe Mühlburge			8079144	490038N	29	082312E				EVA	8079144	UIC
	CET		1		DE		Traunstein Klinikum	Traunstein Klinikum			8005873	475228N	29	123800E				EVA	8005873	UIC
	CET		1		DE		Neckarsulm Mitte	Neckarsulm Mitte			8004232	491136N	29	091323E				EVA	8004232	UIC
	CET		1		DE		Lübeck Hochschulstadtteil	Lübeck Hochschulsta			8003785	534952N	29	104120E				EVA	8003785	UIC
	CET		1		AT		Wolfshütte	Wolfshütte			8101902	480309N	29	134054E				EVA	8101902	UIC
	CET		1		AT		Bergern	Bergern			8101904	480603N	29	133752E				EVA	8101904	UIC
	CET		1		IT		SPIGNO	SPIGNO			8300874	443221N	29	081904E				EVA	8300874	UIC
	CET		1		CH		Luzern	Luzern			8505000	470300N	29	081837E				EVA	8505000	UIC
	CET		1		IT		Gropello Cairoli	Gropello Cairoli			8361009	451024N	29	085930E				EVA	8301547	UIC
	CET		1		IT		Lierna	Lierna			8376289	455739N	29	091811E				EVA	8301639	UIC
	CET		1		IT		Marlengo/Marling	Marlengo/Marling			8387972	463951N	29	110819E				EVA	8337972	UIC
	CET		1		IT		Plaus	Plaus			8389595	463931N	29	110227E				EVA	8339595	UIC
	CET		1		IT		Milano Villapizzone	Milano Villapizzone			8301639	453007N	29	090903E				EVA	8342517	UIC
	CET		1		IT		Sluderno/Schluderns	Sluderno/Schluderns			8392780	463954N	29	103454E				EVA	8342780	UIC
	CET		1		IT		Ciardes/Tschars	Ciardes/Tschars			8302209	463807N	29	105627E				EVA	8349369	UIC
	CET		1		IT		S.Valentino alla Muta/St.Valentin auf der Heide	S.Valentino alla Mut			8351494	464555N	29	103202E				EVA	8351494	UIC
	CET		1		IT		Curon/Graun	Curon/Graun			8359419	464830N	29	103226E				EVA	8359419	UIC
	CET		1		IT		Malles/Mals	Malles/Mals			8362035	464102N	29	103258E				EVA	8362035	UIC
	CET		1		IT		San Donato Milanese	San Donato Milanese			8301624	452507N	29	091512E				EVA	8367816	UIC
	CET		1		IT		Burgusio/Burgeis	Burgusio/Burgeis			8377302	464248N	29	103148E				EVA	8377302	UIC
	CET		1		IT		Stava/Staben	Stava/Staben			8377683	463843N	29	105758E				EVA	8377683	UIC
	CET		1		IT		Arcene	Arcene			8378025	453431N	29	093620E				EVA	8378025	UIC
	CET		1		IT		NAPOLI AFRAGOLA	NAPOLI AFRAGOLA			8309988	405554N	29	141953E				EVA	8309988	UIC
	CET		1		CH		Chiasso	Chiasso			8505307	454955N	17	090153E				EVA	8505307	UIC
	CET		1		IT		Albizzate-Solbiate A	Albizzate-Solbiate A			8350874	454316N	29	084823E				EVA	8300874	UIC
	CET		1		IT		Malpensa Aeroporto	Malpensa Aeroporto			8301139	453738N	29	084240E				EVA	8303905	UIC
	CET		1		IT		Vello (I)	Vello (I)			8303913	454520N	29	100441E				EVA	8303913	UIC
	CET		1		IT		Iseo(I)	Iseo(I)			8303924	453923N	29	100300E				EVA	8303924	UIC
	CET		1		IT		Campione Casino	Campione Casino			8303934	455809N	29	085812E				EVA	8303934	UIC
	CET		1		IT		Campione Corso Italia	Campione Corso Ital			8303935	455750N	29	085821E				EVA	8303935	UIC
	CET		1		IT		Cesano Maderno-Groane	Cesano Maderno-Groan			8303957	453745N	29	090702E				EVA	8303957	UIC
	CET		1		DE		Niesky Horkaer Straße	Niesky Horkaer Stra			80G0397	511733N	29	144936E				EVA	8070900	UIC
	CET		1		DE		Halle(Saale)Hbf Gl. 13a	Halle(Saale)Hbf Gl.			8098159	512843N	29	115915E				EVA	8098159	UIC
	CET		1		IT		Catania Piazza Europa	Catania Piazza Eur			83G0339	373056N	29	150620E				EVA	8312335	UIC
	CET		1		IT		Crusinallo stazione	Crusinallo stazione			8322023	455352N	29	082452E				EVA	8322023	UIC
	CET		1		IT		Merone	Merone			8301454	454650N	29	091436E				EVA	8300902	UIC
	CET		1		IT		Chiari	Chiari			8301713	453224N	29	095536E				EVA	8300530	UIC
	CET		1		IT		Morbegno	Morbegno			8301425	460811N	29	093408E				EVA	8300064	UIC
	CET		1		IT		Piadena	Piadena			8301919	450725N	29	102211E				EVA	8300581	UIC
	CET		1		IT		Ispra	Ispra			8301121	454842N	29	083716E				EVA	8300607	UIC
	CET		1		IT		S.Cristina e Bissone	S.Cristina e Bissone			8301866	450931N	29	092358E				EVA	8302075	UIC
	CET		1		IT		Milano Bovisa	Milano Bovisa			8301642	453009N	29	090933E				EVA	8300959	UIC
	CET		1		IT		Parabiago	Parabiago			8301035	453309N	29	085647E				EVA	8300962	UIC
	CET		1		IT		Pavia Porta Garibal.	Pavia Porta Garibal.			8330921	451103N	29	091002E				EVA	8300963	UIC
	CET		1		IT		Ponte S. Pietro	Ponte S. Pietro			8301528	454157N	29	093503E				EVA	8300964	UIC
	CET		1		IT		Dervio	Dervio			8301408	460440N	29	091822E				EVA	8301484	UIC
	CET		1		IT		Melzo	Melzo			8301705	453008N	29	092511E				EVA	8301692	UIC
	CET		1		IT		Verbania Intra imb. Vecchio	Verbania Intra imb			8322103	455609N	29	083431E				EVA	8322103	UIC
	CET		1		IT		Brindisi Cittadella Della Ricerca	Brindisi Cittadella 			8311123	403537N	29	175123E				EVA	8311123	UIC
