1100654|TŸllingen, Dorfstr.|TŸllingen, Dorfstr.|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100655|Binzen, Rathausplatz|Binzen, Rathausplat|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100656|Binzen, Dreispitz|Binzen, Dreispitz|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100657|Kandern, Tannenkirch Ochsen|Kandern, Tannenkirc|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100658|Fischingen (D), Abzw.|Fischingen (D), Abz|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100659|Efringen-Kirchen, Rathaus|Efringen-Kirchen, R|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100660|Efringen-Kirchen, Hauptstr.|Efringen-Kirchen, H|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100661|Efringen-Kirchen, Bahnhof|Efringen-Kirchen, B|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100662|Efringen-Kirchen, Wintersweile|Efringen-Kirchen, W|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100663|Huttingen, Abzw.|Huttingen, Abzw.|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100664|Huttingen, Ort|Huttingen, Ort|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100665|Blansingen, Brunnen|Blansingen, Brunnen|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100666|Efringen-Kirchen, Welmlingen|Efringen-Kirchen, W|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100667|Istein, Neue Str.|Istein, Neue Str.|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100668|Istein, Rathaus|Istein, Rathaus|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100669|Kleinkems, Rheinstr.|Kleinkems, Rheinstr|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100670|Kleinkems, Rathaus|Kleinkems, Rathaus|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100671|Rheinweiler, Ort|Rheinweiler, Ort|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100672|Bad Bellingen, Bamlach|Bad Bellingen, Baml|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100673|Bad Bellingen, Thermalbad|Bad Bellingen, Ther|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100674|Bad Bellingen, Markushof|Bad Bellingen, Mark|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100675|Bad Bellingen, Hertinger Str.|Bad Bellingen, Hert|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100676|Bad Bellingen, Ršmerstr.|Bad Bellingen, Ršme|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100677|Neuenburg (D), Friedhofstr.|Neuenburg (D), Frie|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100678|Neuenburg (D), Malzacker|Neuenburg (D), Malz|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100679|Neuenburg (D), SŠgeweg|Neuenburg (D), SŠge|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100680|Neuenburg (D), Freiburger Str.|Neuenburg (D), Frei|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100681|Neuenburg (D), Steinenstadt|Neuenburg (D), Stei|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100682|Neuenburg (D), MŸllheimerstr.|Neuenburg (D), MŸll|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100683|Neuenburg (D), Breisacher Str.|Neuenburg (D), Brei|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100684|Burkheim-Bischoffingen, Bhf.|Burkheim-Bischoffin|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100686|Achkarren, WG|Achkarren, WG|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100687|Achkarren, Bahnhof|Achkarren, Bahnhof|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100688|Jechtingen, Bahnhof|Jechtingen, Bahnhof|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100689|Jechtingen, Ortschaftsamt|Jechtingen, Ortscha|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100690|Sasbach, Winzergenossenschaft|Sasbach, Winzergeno|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100691|Sasbach, Wyhler Str.|Sasbach, Wyhler Str|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100692|Sasbach, Bahnhof|Sasbach, Bahnhof|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100693|Sasbach, Leiselheim Mittelweg|Sasbach, Leiselheim|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100694|Kšnigschaffhausen, Bahnhof|Kšnigschaffhausen, |29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100695|Kšnigschaffhausen, Weiherweg|Kšnigschaffhausen, |29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100696|Kšnigschaffhausen, Bhf/Endinge|Kšnigschaffhausen, |29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100697|Kšnigschaffhausen, Zehntgasse|Kšnigschaffhausen, |29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100698|Endingen (D), Kšnigsch.hs. Str|Endingen (D), Kšnig|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100699|Endingen (D), Forchheimer Str.|Endingen (D), Forch|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100700|Endingen (D), Kenzinger Str.|Endingen (D), Kenzi|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100701|Endingen (D), Bahnhof|Endingen (D), Bahnh|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100702|Wyhl, Endinger Str.|Wyhl, Endinger Str.|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100703|Wyhl, EDEKA|Wyhl, EDEKA|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100704|Forchheim, Wyhler Str.|Forchheim, Wyhler S|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100705|Rheinstetten-Forchh. Hallenb.2|Rheinstetten-Forchh|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100706|Forchheim, Oberfeldstr.|Forchheim, Oberfeld|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100707|Rheinstetten-Forchh. Hauptstr.|Rheinstetten-Forchh|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100708|Riegel a. K., Breite|Riegel a. K., Breit|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100709|Riegel a. K., Jugendhilfez.|Riegel a. K., Jugen|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100711|Riegel a. K., Bahnhof|Riegel a. K., Bahnh|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100712|Bahlingen, Bahnhof|Bahlingen, Bahnhof|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100713|Bahlingen, Hauptstr.|Bahlingen, Hauptstr|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100714|Bahlingen, Teninger Str.|Bahlingen, Teninger|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100715|Bahlingen, Friedensplatz|Bahlingen, Friedens|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100716|Eichstetten, Kaiserstuhleck|Eichstetten, Kaiser|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100717|Eichstetten, Zehntscheuer|Eichstetten, Zehnts|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100719|Bštzingen, Hauptstr.|Bštzingen, Hauptstr|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100720|Nimburg, Bahnhof|Nimburg, Bahnhof|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100721|Teningen, Nimburg Breisacherst|Teningen, Nimburg B|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100723|Inzlingen, Zoll|Inzlingen, Zoll|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100724|Teningen, Post|Teningen, Post|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100725|Auggen, Siedlung Richtberg|Auggen, Siedlung Ri|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100726|Staufen (Brsg), Wolfacker/Gym.|Staufen (Brsg), Wol|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100727|MŸnstertal (Schw), Dietzelbach|MŸnstertal (Schw), |29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100728|MŸnstertal (Schw), Hof|MŸnstertal (Schw), |29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100729|Bad Krozingen, Staufener Str.|Bad Krozingen, Stau|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100730|MŸnstertal (Schw), Schule Krum|MŸnstertal (Schw), |29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100731|Freiburg (Breisgau), Busbhf.|Freiburg (Breisgau)|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100736|Wehr (D), Novartis|Wehr (D), Novartis|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100737|Wehr (D), Kath. Kirche|Wehr (D), Kath. Kir|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100738|Wehr (D), Busbahnhof|Wehr (D), Busbahnho|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100739|Brennet, Baslerstr.|Brennet, Baslerstr.|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100740|Bad SŠckingen, Gewerbeschule|Bad SŠckingen, Gewe|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100741|Bad SŠckingen, W. Kirchhofer|Bad SŠckingen, W. K|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100743|Lšrrach, Kindergarten|Lšrrach, Kindergart|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100861|MŸnstertal (Schw), SŸssenbrunn|MŸnstertal (Schw), |29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100862|Strasbourg gare Routire|Strasbourg gare Rou|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100901|Remetschwiel(D), Haagwaldhalle|Remetschwiel(D), Ha|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100902|Remetschwiel(D), Kindergarten|Remetschwiel(D), Ki|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100910|Radolfzell am Bodensee ZOB|Radolfzell am Boden|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100950|Titisee-Neustadt, Bahnhof|Titisee-Neustadt, B|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100951|BŠrental, Ortsmitte|BŠrental, Ortsmitte|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100952|AltglashŸtten, Feldberghalle|AltglashŸtten, Feld|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100953|AltglashŸtten, Sparkasse|AltglashŸtten, Spar|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100954|Aha, Gasthaus Auerhahn|Aha, Gasthaus Auerh|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100955|Schluchsee, Bahnhof|Schluchsee, Bahnhof|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100956|Seebrugg, Strassenkreuzung|Seebrugg, Strassenk|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100958|Freiburg (D), Hauptbhf/ZOB (4)|Freiburg (D), Haupt|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100960|Hinterzarten, Bahnhof|Hinterzarten, Bahnh|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100961|Himmelreich, Bahnhof|Himmelreich, Bahnho|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100962|Kirchzarten, Burger Platz|Kirchzarten, Burger|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100963|Freiburg(D), SchwabentorbrŸcke|Freiburg(D), Schwab|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100964|Donaueschingen, Busbahnhof|Donaueschingen, Bus|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100967|Lšffingen, Bahnhof|Lšffingen, Bahnhof|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1101000|Bad Reichenhall, Hauptbahnhof|Bad Reichenhall, Ha|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1101013|MŸnchen Flgh Besucherpark Bus|MŸnchen Flgh Besuch|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1101018|MŸnchen Hbf Nord|MŸnchen Hbf Nord|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1101019|MŸnchen Hbf Nord II|MŸnchen Hbf Nord II|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1101020|MŸnchen Hbf Nord III|MŸnchen Hbf Nord II|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
