UIC|8325035|8303005|8325035|||SBB
UIC|8325036|83G0317|8325036|||SBB
UIC|8325039|8303007|8325039|||SBB
UIC|8325042|8303009|8325042|||SBB
UIC|8325043|83G0318|8325043|||SBB
UIC|8325045|8303011|8325045|||SBB
UIC|8325111|8303013|8325111|||SBB
UIC|8325112|8303014|8325112|||SBB
UIC|8325114|83G0319|8325114|||SBB
UIC|8325115|8303060|8325115|||SBB
UIC|8325116|8303017|8325116|||SBB
UIC|8325118|8303496|8325118|||SBB
UIC|8325119|83G0320|8325119|||SBB
UIC|8325222|83G0321|8325222|||SBB
UIC|8325223|8303020|8325223|||SBB
UIC|8325224|83G0322|8325224|||SBB
UIC|8325225|8303037|8325225|||SBB
UIC|8325227|83G0324|8325227|||SBB
UIC|8325229|8303024|8325229|||SBB
UIC|8325232|83G0325|8325232|||SBB
UIC|8325233|8303027|8325233|||SBB
UIC|8325251|8303028|8325251|||SBB
UIC|8325352|83G0326|8325352|||SBB
UIC|8325361|83G0327|8325361|||SBB
UIC|8325362|83G0328|8325362|||SBB
UIC|8325363|8303495|8325363|||SBB
UIC|8325364|8303032|8325364|||SBB
UIC|8325365|8303033|8325365|||SBB
UIC|8325366|8303034|8325366|||SBB
UIC|8325367|8303035|8325367|||SBB
UIC|8325369|8303036|8325369|||SBB
UIC|8325422|8303038|8325422|||SBB
UIC|8325423|8303039|8325423|||SBB
UIC|8325425|8303040|8325425|||SBB
UIC|8325426|8303041|8325426|||SBB
UIC|8325427|8303042|8325427|||SBB
UIC|8325428|8303043|8325428|||SBB
UIC|8325429|8303044|8325429|||SBB
UIC|8325431|8303045|8325431|||SBB
UIC|8325432|8303046|8325432|||SBB
UIC|8325434|8303047|8325434|||SBB
UIC|8325435|8303048|8325435|||SBB
UIC|8325622|8301135|8325622|||SBB
UIC|8325624|8301136|8325624|||SBB
UIC|8325631|8301137|8325631|||SBB
UIC|8325635|8301139|8325635|||SBB
UIC|8325641|8303052|8325641|||SBB
UIC|8325642|83G0329|8325642|||SBB
UIC|8325644|83G0330|8325644|||SBB
UIC|8325646|83G0331|8325646|||SBB
UIC|8325647|8303056|8325647|||SBB
UIC|8325648|8303950|8325648|||SBB
UIC|8325649|8303057|8325649|||SBB
UIC|8326002|8303062|8326002|||SBB
UIC|8326003|8303063|8326003|||SBB
UIC|8326004|8303064|8326004|||SBB
UIC|8326005|8303065|8326005|||SBB
UIC|8326006|8303066|8326006|||SBB
UIC|8326008|8303067|8326008|||SBB
UIC|8326009|8303068|8326009|||SBB
UIC|8326010|8303955|8326010|||SBB
UIC|8326011|8303069|8326011|||SBB
UIC|8326012|8303070|8326012|||SBB
UIC|8326014|8303072|8326014|||SBB
UIC|8326015|8303073|8326015|||SBB
UIC|8326016|8303074|8326016|||SBB
UIC|8326018|8303076|8326018|||SBB
UIC|8326019|8303924|8326019|||SBB
UIC|8326020|8303078|8326020|||SBB
UIC|8326022|8303080|8326022|||SBB
UIC|8326025|83G0333|8326025|||SBB
UIC|8326026|83G0334|8326026|||SBB
UIC|8326027|83G0335|8326027|||SBB
UIC|8326028|8303086|8326028|||SBB
UIC|8326030|83G0337|8326030|||SBB
UIC|8326032|8303956|8326032|||SBB
