|CET||1||DE||Blankenfelde Mozartweg|Blankenfelde Mozartweg|||80G0502|522014N|29|132452E||||OBB|8079711|UIC
|CET||1||DE||Fürstenwalde ZOB|Furstenwalde Zob|||8005292|522200N|29|140331E||||OBB|8079727|UIC
|CET||1||DE||Erkner ZOB|Erkner Zob|||80G0509|522543N|29|134511E||||OBB|8079722|UIC
|CET||1||DE||Falkensee ZOB|Falkensee Zob|||80G0511|523337N|29|130519E||||OBB|8079724|UIC
|CET||1||DE||Schwante An der Kirche|Schwante An Der Kirche|||80G0551|524403N|29|130517E||||OBB|8081563|UIC
|CET||1||DE||Löwenberg Kirche|Lowenberg Kirche|||80G0500|525355N|29|130908E||||OBB|8079637|UIC
|CET||1||DE||Chorin Dorf|Chorin Dorf|||80G0505|525408N|29|135218E||||OBB|8079715|UIC
|CET||1||DE||Dannenwalde(Gransee) Kirche|Dannenwalde(Gransee) Kirche|||8028029|530447N|29|131109E||||OBB|8070962|UIC
|CET||1||DE||Lübz|Lubz|||8047341|532800N|29|120131E||||OBB|8012265|UIC
|CET||1||DE||Passow(Meckl)|Passow (Meckl)|||8047342|533028N|29|120313E||||OBB|8012612|UIC
|CET||1||DE||Karow(Meckl)|Karow(Meckl)|||8047344|533224N|29|121620E||||OBB|8010188|UIC
|CET||1||DE||Neubrandenburg ZOB|Neubrandenburg Zob|||8028126|533340N|29|131532E||||OBB|8089305|UIC
|CET||1||DE||Altentreptow ZOB|Altentreptow Zob|||8028128|534131N|29|131436E||||OBB|8079706|UIC
|CET||1||DE||Pogeez|Pogeez|||8001683|534513N|29|104340E||||OBB|8004850|UIC
|CET||1||DE||Ducherow Gaststätte|Ducherow Gaststatte|||80G0507|534553N|29|134641E||||OBB|8079719|UIC
|CET||1||DE||Gnevkow Wendeschleife|Gnevkow Wendeschleife|||80G0514|534717N|29|131002E||||OBB|8079728|UIC
|CET||1||DE||Bobitz Schule|Bobitz Schule|||80G0503|534806N|29|112130E||||OBB|8079712|UIC
|CET||1||DE||Sternfeld Ort|Sternfeld Ort|||80G0539|534945N|29|130954E||||OBB|8079769|UIC
|CET||1||DE||Dorf Mecklenburg B106|Dorf Mecklenburg B106|||8027377|535030N|29|112733E||||OBB|8071525|UIC
|CET||1||DE||Utzedel Gaststätte|Utzedel Gaststatte|||80G0544|535126N|29|130735E||||OBB|8079774|UIC
|CET||1||DE||Lübeck ZOB/Hbf|Lubeck Zob/Hbf|||8089404|535157N|29|104014E||||OBB|8089404|UIC
|CET||1||DE||Kalsow Abzweig B105|Kalsow Abzweig B105|||80G0518|535456N|29|113504E||||OBB|8079739|UIC
|CET||1||DE||Hagebök Neubau B105|Hagebok Neubau B105|||80G0515|535738N|29|113656E||||OBB|8079731|UIC
