421032	Züttlingen Haltestel	29	421032				1
421034	Schulzentrum/Theodor	29	421034				1
421036	Abzw. Bahnhof| Roigh	29	421036				1
421043	Bahnhof| Offenau	29	421043				1
421062	Wollmatingen (SEV-Ha	29	421062				1
421068	Herblingen SEV| Schw	29	421068				1
421091	Hauptbahnhof/ZOB| Fr	29	421091				1
421122	Saline| Offenau	29	421122				1
421196	Bahnhof Fürstenberg/	29	421196				1
421197	BF Petershausen/Bück	29	421197				1
421210	Hauptbahnhof Südausg	29	421210				1
421213	Bahnhof (Industriege	29	421213				1
421219	ZOB| Pforzheim	29	421219				1
421233	ZOB| Ellwangen (Jags	29	421233				1
421286	Bahnhof Gartenstraße	29	421286				1
421295	Goldmühl Bahnhof| Ba	29	462534				1
421301	Bahnhof/ZOB| Oberndo	29	421301				1
421309	DB-Haltepunkt| Geisi	29	421309				1
421311	Schwabsberg Gasthaus	29	421311				1
421313	Schrezheim Bahnhof|	29	421313				1
421319	Bahnhof| Jagstzell	29	421319				1
421375	Unterrodach Ortsmitt	29	464896				1
421395	Schwenningen Bahnhof	29	421395				1
421397	Schwenningen Bahnhof	29	421397				1
421398	Welschingen Bahnhof|	29	421398				1
421537	Herrenberger Straße|	29	421537				1
421539	Heiligenfeld Bahnhof	29	421539				1
421540	Stadtbahnhof/ZOB| Fr	29	421540				1
421558	Edelfingen Nord| Bad	29	421558				1
421559	Edelfingen Süd| Bad	29	421559				1
421582	Laudenbach Ort| Weik	29	421582				1
421586	ZOB| Niederstetten	29	421586				1
421613	Distelhausen Kirche|	29	421613				1
421615	Dittigheim Kirche| T	29	421615				1
421658	Eubigheim Kirche| Ah	29	421658				1
421663	Wölchingen Bahnhof|	29	421663				1
421671	Bahnhof| Grünsfeld	29	421671				1
421674	Zimmern Bahnhof| Grü	29	421674				1
421677	Bahnhof| Wittighause	29	421677				1
421679	Oberwittighausen Abz	29	421679				1
421855	Rathaus| Diespeck	29	461117				1
421903	Bahnhof SEV| Kandel	29	421903				1
421904	Hauptbahnhof SEV| La	29	421904				1
421905	Mantel| Bruchsal	29	421905				1
421958	Bahnhof/ZOB| Böbling	29	421958				1
422027	Konrad-Zuse-Straße/B	29	422027				1
422058	Gausbach| Forbach	29	422058				1
422059	Langenbrand| Forbach	29	422059				1
422060	Au im Murgtal| Weise	29	422060				1
422061	Hauptstraße| Weisenb	29	422061				1
422063	Bronnbach Bahnhof| W	29	422063				1
422064	Reicholzheim Bahnhof	29	422064				1
422070	Bahnhof/Musikschule|	29	422070				1
422129	Bahnhof| Gaildorf	29	422129				1
422130	Ersingen Abzw. Bahnh	29	422130				1
422131	Hauptbahnhof (SEV Hs	29	422131				1
422176	Burgstall (M) Bahnho	29	422176				1
422218	Steinsfurt (SEV)| Si	29	422218				1
422219	Museum (SEV)| Sinshe	29	422219				1
422220	Bahnhof (S42)| Sinsh	29	422220				1
422414	ZOB| Schorndorf (Wür	29	422414				1
422895	Obere Brückenstraße|	29	466875				1
423375	Unteressendorf Bahnh	29	490283				1
423638	Hauptbahnhof/Busbahn	29	423638				1
423695	Bahnhofstraße| Memme	29	464551				1
424039	Königshofen Kiebitz|	29	424039				1
424137	Holzgerlingen Nord	29	424137				1
425257	Bahnhof| Kahl a. Mai	29	425257				1
425457	Alzenau i. UFr. Nord	29	425457				1
425566	Hauptbahnhof ROB| As	29	425566				1
425582	Südbahnhof| Aschaffe	29	425582				1
425587	Bahnhof| Kleinwallst	29	425587				1
425621	Obernau Orffstr.| As	29	425621				1
425638	Bahnhof| Erlenbach a	29	425638				1
425664	Bahnhof| Höchst i. O	29	425664				1
425682	Stadtwaage| Wörth a.	29	425682				1
425683	Altstadt| Wörth a. M	29	425683				1
425687	Bahnhof| Klingenberg	29	425687				1
425690	Glanzstoffwerke Tor	29	425690				1
