OBB TH code,OBB TH name,OBB TH type,OBB latitude,OBB longitude,ACR TH code,ACR TH name,ACR TH type,PRESENT ON AMR DEMO?,STH country,ACR TH country,ACR_Station Mapped same country?
8322094,San Lorenzo,railway,"46,126715","8,200081",8322097,San Lorenzo,railway,,IT,IT,
8302825,Villette(Vigezzo),railway,"46,129649","8,521841",8302827,Villette(Vigezzo),railway,,IT,IT,
8302821,Gagnone-Orcesco,railway,"46,129671","8,419607",8302821,Gagnone-Orcesco,railway,,IT,IT,
8302807,Malesco,railway,"46,129853","8,499844",8302807,Malesco,railway,,IT,IT,
8302824,Zornasco,railway,"46,130833","8,490798",8302824,Zornasco,railway,,IT,IT,
8302811,Masera,railway,"46,132248","8,323896",8302811,Masera,railway,,IT,IT,
8302823,Prestinone,railway,"46,132731","8,480491",8302823,Prestinone,railway,,IT,IT,
8302809,Druogno,railway,"46,133149","8,43391",8302809,Druogno,railway,,IT,IT,
8322008,Caddo,railway,"46,134018","8,286194",8322008,Caddo,railway,,IT,IT,
8302826,Folsogno-Dissimo,railway,"46,134697","8,558173",8302826,Folsogno-Dissimo,railway,,IT,IT,
8302822,Buttogno,railway,"46,135753","8,444313",8302822,Buttogno,railway,,IT,IT,
8302806,Re(I),railway,"46,135946","8,539405",8302806,Re(I),railway,,IT,IT,
8322055,"Masera, Municipio",railway,"46,136796","8,326237",8322055,"Masera, Municipio",railway,,IT,IT,
8302808,S. Maria Maggiore,railway,"46,137401","8,461169",8302808,S. Maria Maggiore,railway,,IT,IT,
8302181,Stazione p. l'Alpago,railway,"46,137527","12,316318",8300187,Stazione P.l'alpago,railway,,IT,IT,
8322086,Preglia di Crevoladossola,railway,"46,145484","8,296209",8322086,Preglia Di Crevoladossola,railway,,IT,IT,
8322083,Pontetto di Montecrestese,railway,"46,150519","8,314202",8322083,Pontetto Di Montecrestese,railway,,IT,IT,
8322079,Ponte di Crevola,railway,"46,152888","8,304389",8322079,Ponte Di Crevola,railway,,IT,IT,
8322091,Roldo,railway,"46,154164","8,324332",8322091,Roldo,railway,,IT,IT,
8302828,Ribellasca,railway,"46,154952","8,601302",8302828,Ribellasca,railway,,IT,IT,
8322017,Crevoladossola,railway,"46,156278","8,303433",8322017,Crevoladossola,railway,,IT,IT,
8322041,Giosio,railway,"46,158299","8,331623",8322041,Giosio,railway,,IT,IT,
8302119,S.Giacomo di Teglio,railway,"46,159659","10,027432",8302119,S.Giacomo Di Teglio,railway,,IT,IT,
8322064,Naviledo,railway,"46,159927","8,340763",8322064,Naviledo,railway,,IT,IT,
8303091,Sonico,railway,"46,161045","10,351096",8303091,Sonico,railway,,IT,IT,
8302176,S.Pietro Berbenno,railway,"46,161197","9,740528",8302176,S.Pietro Berbenno,railway,,IT,IT,
8302269,Tresenda-Aprica-Teg.,railway,"46,162017","10,083864",8308115,Tresenda-Aprica-T,railway,,IT,IT,
8301963,Ponte in Valtellina,railway,"46,16284","9,976497",8301963,Ponte In Valtellina,railway,,IT,IT,
8322062,Montecrestese,railway,"46,165382","8,326611",8322062,Montecrestese,railway,,IT,IT,
8301956,Poggiridenti-Tresiv.,railway,"46,167046","9,933869",8301956,Poggiridenti-Tresiv.,railway,,IT,IT,
8322000,Altoggio,railway,"46,167254","8,345805",8322000,Altoggio,railway,,IT,IT,
8322063,Nava,railway,"46,169505","8,336532",8322063,Nava,railway,,IT,IT,
8302862,Tricesimo S. Pelagio,railway,"46,170311","13,215126",8396990,TRICESIMO-SAN PELAGIO,railway,,IT,IT,
8322065,Oira,railway,"46,174697","8,315782",8322065,Oira,railway,,IT,IT,
8303074,Edolo,railway,"46,177053","10,329446",8303074,Edolo,railway,,IT,IT,
8322082,Pontemaglio,railway,"46,180458","8,323451",8322082,Pontemaglio,railway,,IT,IT,
8300366,Iselle transito,railway,"46,187965","8,187302",8300407,Iselle Transito,railway,,IT,IT,
8302308,Verceia,railway,"46,202618","9,458133",8302308,Verceia,railway,,IT,IT,
8322102,"Varzo, stazione",railway,"46,2064","8,24533",8322102,"Varzo, Stazione",railway,,IT,IT,
8302814,Iselle di Trasquera,railway,"46,207241","8,206997",8302814,Iselle Di Trasquera,railway,,IT,IT,
8322018,"Crodo, Bagni",railway,"46,214183","8,321316",8322018,"Crodo, Bagni",railway,,IT,IT,
8302436,"Tirano, stazione",railway,"46,21585","10,166103",8302436,"Tirano, Stazione",railway,,IT,IT,
8322019,"Crodo, paese",railway,"46,224016","8,323562",8322019,"Crodo, Paese",railway,,IT,IT,
8322059,Miramonti,railway,"46,232132","8,32337",8322059,Miramonti,railway,,IT,IT,
7900014,Kranj,railway,"46,239011","14,348167",7942307,Kranj,railway,,SI,SI,
8302197,Salorno/Salurn,railway,"46,24575","11,202821",8300871,SALORNO SALURN,railway,,IT,IT,
8381998,Autostrada A23 Ausfahrt Gemona-Osoppo,railway,"46,249964","13,100593",8381998,Autostrada A23 Ausfahrt Gemona-Osoppo,railway,,IT,IT,
8322003,Baceno,railway,"46,261501","8,319256",8322003,Baceno,railway,,IT,IT,
8322087,Premia (IT),railway,"46,267424","8,336007",8322087,Premia (It),railway,,IT,IT,
8381957,Gemona del Friuli stazione/Bf (Via Julia),railway,"46,274072","13,128704",8381957,Gemona Del Friuli Stazione/Bf (Via Julia),railway,,IT,IT,
8302087,S.Cassiano Valchiav.,railway,"46,274122","9,397859",8302087,S.Cassiano Valchiav.,railway,,IT,IT,
8322075,Piedilago,railway,"46,279112","8,3526",8322075,Piedilago,railway,,IT,IT,
8301723,Magrè-Cortaccia,railway,"46,288046","11,232629",8302923,MAGRE'-CORTACCIA,railway,,IT,IT,
8322007,Cadarese,railway,"46,297878","8,362637",8322007,Cadarese,railway,,IT,IT,
8322096,San Rocco,railway,"46,302931","8,367396",8322096,San Rocco,railway,,IT,IT,
8301870,Prata Camportacchio,railway,"46,307721","9,39773",8342895,PRATA CAMPORTACCIO,railway,,IT,IT,
8322074,Passo,railway,"46,315122","8,381444",8322074,Passo,railway,,IT,IT,
8301491,Egna-Termeno/Neumarkt-Tramin,railway,"46,319496","11,257394",8301491,Egna-Termeno/Neumarkt-Tramin,railway,,IT,IT,
8322090,Rivasco,railway,"46,3275","8,391191",8322090,Rivasco,railway,,IT,IT,
8381956,Venzone stazione/Bf (piazza/Vorplatz),railway,"46,332302","13,135573",8381956,Venzone Stazione/Bf (Piazza/Vorplatz),railway,,IT,IT,
8357035,"Villa di Chiavenna, Dogana",railway,"46,332543","9,513066",8357035,"Villa Di Chiavenna, Dogana",railway,,IT,IT,
8322039,Foppiano,railway,"46,33338","8,404346",8322039,Foppiano,railway,,IT,IT,
8322038,Fondovalle,railway,"46,344566","8,425862",8322038,Fondovalle,railway,,IT,IT,
8322014,Chiesa (Val Formazza),railway,"46,353086","8,427875",8322014,Chiesa (Val Formazza),railway,,IT,IT,
7900002,Lesce-Bled,railway,"46,360431","14,157632",7900202,Lesce Bled,railway,,SI,SI,
8322095,San Michele,railway,"46,36744","8,429319",8322095,San Michele,railway,,IT,IT,
8322100,Valdo,railway,"46,372503","8,427514",8322100,Valdo,railway,,IT,IT,
8381955,Carnia stazione/Bf (piazza/Vorplatz),railway,"46,373535","13,133593",8381955,Carnia Stazione/Bf (Piazza/Vorplatz),railway,,IT,IT,
8322080,Ponte Formazza,railway,"46,376539","8,426911",8322080,Ponte Formazza,railway,,IT,IT,
8302763,Ponteperaria,railway,"46,390753","13,254841",8302763,Ponteperaria,railway,,IT,IT,
8301245,Bronzolo/Branzoll,railway,"46,405118","11,315973",8300869,Bronzolo,railway,,IT,IT,
8322011,Cascate del Toce,railway,"46,409183","8,411756",8322011,Cascate Del Toce,railway,,IT,IT,
8322089,Riale di Formezza,railway,"46,416956","8,415888",8322089,Riale Di Formezza,railway,,IT,IT,
8301615,Laives/Leifers,railway,"46,434053","11,323648",8358969,LAIVES LEIFERS,railway,,IT,IT,
7900001,Jesenice(SL),railway,"46,436352","14,053301",7900201,Jesenice,railway,,SI,SI,
8300476,Calalzo-Pieve di Cadore-Cortina,railway,"46,444034","12,388768",8300602,Calalzo-Pieve Di Cadore-Cortina,railway,,IT,IT,
