DEFAULT_LONG_NAME,GENERIC_LOCATION_CODE,LOCATION_TYPE_CODE,COUNTRY_CODE
Zbšszyń,5102614,29,PL
Nowy Tomyl,5102621,29,PL
Słubice,5102630,29,PL
Opalenica,5102720,29,PL
Buk,5102723,29,PL
Sulechów,5102730,29,PL
Czerwieńsk,5102750,29,PL
Zielona Góra,5102780,29,PL
Nowogrod Bobrzanski,5102789,29,PL
wiebodzin,5102810,29,PL
Toporów,5102818,29,PL
Szamotuły,5102880,29,PL
Wronki,5102896,29,PL
Krzyż,5102910,29,PL
Dobiegniew,5102918,29,PL
Nowe Drezdenko,5102921,29,PL
Wieleń Północny,5102922,29,PL
Choszczno,5102940,29,PL
Wrzenia,5103000,29,PL
roda Wlkp.,5103020,29,PL
Poznań Gł.,5103060,29,PL
Gniezno,5103080,29,PL
Skoki,5103125,29,PL
Wšgrowiec,5103130,29,PL
Mogilno,5103200,29,PL
Kutno,5103220,29,PL
Płock,5103260,29,PL
Sierpc,5103270,29,PL
Łowicz Gł.,5103290,29,PL
Konin,5103310,29,PL
Koło,5103319,29,PL
Warszawa Zachodnia,5103350,29,PL
Warszawa Centralna,5103360,29,PL
Warszawa Gdańska,5103610,29,PL
Legionowo,5103650,29,PL
Nasielsk,5103670,29,PL
Ciechanów,5103693,29,PL
Warszawa Wileńska,5103744,29,PL
Tłuszcz,5103750,29,PL
Łochów,5103791,29,PL
Małkinia,5103830,29,PL
Zarby Kocielne,5103835,29,PL
Warszawa Wschodnia,5103865,29,PL
Otwock,5103888,29,PL
Mińsk Mazowiecki,5103900,29,PL
Pilawa,5103920,29,PL
Siedlce,5103940,29,PL
Łuków,5103990,29,PL
Małaszewicze,5104060,29,PL
Biała Podlaska,5104080,29,PL
Międzyrzec Podlaski,5104083,29,PL
Terespol,5104099,29,PL
Żagań,5104120,29,PL
Bieniów,5104136,29,PL
Żary,5104155,29,PL
Tuplice,5104170,29,PL
Zasieki,5104171,29,PL
Nowa Sól,5104200,29,PL
Głogów,5104220,29,PL
Leszno,5104260,29,PL
Wolsztyn,5104300,29,PL
Kocian,5104340,29,PL
Krotoszyn,5104400,29,PL
Rawicz,5104430,29,PL
Jarocin,5104470,29,PL
Pleszew,5104484,29,PL
Kalisz,5104524,29,PL
Kępno,5104540,29,PL
Wieluń Dšbrowa,5104567,29,PL
Wieluń,5104568,29,PL
Ostrów Wlkp.,5104590,29,PL
Odolanów,5104605,29,PL
Łód Widzew,5104640,29,PL
Pabianice,5104658,29,PL
Łód Kaliska,5104670,29,PL
Zgierz,5104680,29,PL
Skierniewice,5104700,29,PL
Koluszki,5104725,29,PL
Tomaszów Mazowiecki,5104760,29,PL
Piotrków Trybunalski,5104770,29,PL
Radomsko,5104788,29,PL
Skarżysko Kamienna,5104800,29,PL
Starachowice,5104817,29,PL
Radom,5104835,29,PL
Pionki Zachodnie,5104873,29,PL
Przysucha,5104880,29,PL
Drzewica,5104882,29,PL
Idzikowice,5104892,29,PL
Ostrowiec więtokrz.,5104920,29,PL
Dęblin,5104980,29,PL
Puławy,5105003,29,PL
Nałęczów,5105010,29,PL
widnik Miasto,5105048,29,PL
Lublin,5105050,29,PL
Rejowiec,5105080,29,PL
Chełm,5105090,29,PL
Dorohusk,5105110,29,PL
Węgliniec,5105180,29,PL
Zgorzelec,5105184,29,PL
Zgorzelec(Gr),5105189,17,PL
Zgorzelec(Gr),5105189,17,PL
Pieńsk,5105194,29,PL
Zebrzydowa,5105210,29,PL
Lwówek lšski,5105216,29,PL
Lubań l.,5105250,29,PL
Legnica,5105300,29,PL
Łód,5105321,33,PL
Lubin Gorniczy,5105328,29,PL
Malczyce,5105340,29,PL
Bolesławiec,5105385,29,PL
Chojnów,5105400,29,PL
Jaworzyna lšska,5105440,29,PL
wiebodzice,5105452,29,PL
Wałbrzych Szczawien.,5105454,29,PL
Wałbrzych Miasto,5105455,29,PL
widnica Miasto,5105481,29,PL
Dzierżoniów l.,5105490,29,PL
Piława Górna,5105499,29,PL
Wałbrzych Gł.,5105510,29,PL
Boguszów Gorce Wsch.,5105525,29,PL
Marciszów,5105560,29,PL
Jelenia Góra,5105580,29,PL
Szklarska Poręba G.,5105618,29,PL
Kamieniec Zšbkowicki,5105640,29,PL
Ziębice,5105642,29,PL
Nysa,5105660,29,PL
