8187030|Laxenburg Leopold-Fi|000000N|000000E|AT
8282102|Pfaffenthal-Kirch|000000N|000000E|LU
8302663|Lison|000000N|000000E|IT
8303023|Tricesimo-S.Pelag|000000N|000000E|IT
8303213|Trieste A. Ronchi|000000N|000000E|IT
8305068|Savignano Rubic.|000000N|000000E|IT
8400126|Boskoop Snijdelw.|000000N|000000E|NL
8400677|Wadd. Triangel|000000N|000000E|NL
8400901|Regional Train|000000N|000000E|NL
8400902|IC|000000N|000000E|NL
8505207|Bodio|46.3295322|9.1197619|CH
8505415|S. Antonino|000000N|000000E|CH
8507296|Erlenbach Im Simm|000000N|000000E|CH
8516355|Gaggiolo transito|000000N|000000E|CH
8518475|Mendrisio S. Mart|000000N|000000E|CH
8557363|Eismeer|000000N|000000E|CH
8587790|Ste-Croix La CitΘ|000000N|000000E|CH
8774684|Lajoux|46.33518249999999|6.0602367|FR
8779665|St-Cergues-l-Voirons|000000N|000000E|FR
9000100|Berlin(Übergang)|000000N|000000E|DE
9000102|Ahlbeck|000000N|000000E|DE
9000105|Ückeritz|000000N|000000E|DE
9000106|Kölpinsee|000000N|000000E|DE
9000107|Koserow|000000N|000000E|DE
9000108|Zempin|000000N|000000E|DE
9000109|Zinnowitz|000000N|000000E|DE
9109001|Paris Est HGV|36.83342330000001|10.2362222|FR
9109002|Strasbourg HGV|000000N|000000E|FR
9109004|Lorraine HGV|000000N|000000E|FR
9109005|Forbach|000000N|000000E|FR
