AMA|0501518|en|Markelfingen Radolfz|Markelfingen Radolf
AMA|0501549|en|Nendingen Hirsch, Tu|Nendingen Hirsch, T
AMA|0501570|en|Zimmern Rössle, Imm|Zimmern Rössle, Imm
AMA|0501604|en|Hegne Kloster, Allen|Hegne Kloster, Alle
AMA|0501627|en|Rathaus, Mühlhausen|Rathaus, Mühlhausen
AMA|0501770|en|Möhringen Gänsäck|Möhringen Gänsäck
AMA|0501780|en|Vorstadt/Bahnhofstra|Vorstadt/Bahnhofstr
AMA|0501796|en|Abzw. Dietfurt/L277,|Abzw. Dietfurt/L277
AMA|0502029|en|Wyhlen Hebelschule,|Wyhlen Hebelschule,
AMA|0502035|en|Grenzach Sparkasse,|Grenzach Sparkasse,
AMA|0502054|en|Unterdorf, Schwörst|Unterdorf, Schwörst
AMA|0502067|en|Herten Bahnhofstraß|Herten Bahnhofstraß
AMA|0502094|en|Robert Bosch, Lörra|Robert Bosch, Lörra
AMA|0502137|en|Feldberger Hof, Feld|Feldberger Hof, Fel
AMA|0502138|en|Hebelhof, Feldberg (|Hebelhof, Feldberg
AMA|0502147|en|Busbahnhof, Todtnau|Busbahnhof, Todtnau
AMA|0502191|en|Hauingen Wiesenbrüc|Hauingen Wiesenbrüc
AMA|0502243|en|Bahnhof, Steinen (Kr|Bahnhof, Steinen (K
AMA|0502333|en|Brombach Schöpflin-|Brombach Schöpflin-
AMA|0502379|en|Linde, Dogern|Linde, Dogern
AMA|0502413|en|Sparkasse, Laufenbur|Sparkasse, Laufenbu
AMA|0502450|en|Tiengen Stadtmitte,|Tiengen Stadtmitte,
AMA|0502453|en|Kirche, Lauchringen|Kirche, Lauchringen
AMA|0502942|en|Seebrugg Straßenkre|Seebrugg Straßenkre
AMA|0503153|en|Bärental Dreispitz,|Bärental Dreispitz
AMA|0503172|en|Neustadt(Schwarzw) A|Neustadt(Schwarzw)
AMA|0503180|en|Rötenbach Kindergar|Rötenbach Kindergar
AMA|0503210|en|Kurpark, Lenzkirch|Kurpark, Lenzkirch
AMA|0503298|en|Altglashütten Spark|Altglashütten Spark
AMA|0503567|en|Sulgen Schramberger|Sulgen Schramberger
AMA|0503641|en|Platanenallee, Müll|Platanenallee, Müll
AMA|0503642|en|Kaiserbrunnen, Müll|Kaiserbrunnen, Müll
AMA|0503644|en|Amtsgericht, Müllhe|Amtsgericht, Müllhe
AMA|0503645|en|Turnhalle, Müllheim|Turnhalle, Müllhei
AMA|0503731|en|Hochhaus, Auggen|Hochhaus, Auggen
AMA|0503759|en|Hauptstraße, Bötzi|Hauptstraße, Bötz
AMA|0503826|en|Schulstraße, Bad D|Schulstraße, Bad
AMA|0503931|en|Daimler Straße, Tut|Daimler Straße, Tut
AMA|0504602|en|Oberkrozingen Adler,|Oberkrozingen Adler
AMA|0504636|en|Bahnhof/Weidenstraß|Bahnhof/Weidenstraß
AMA|0504672|en|Untermünstertal Bah|Untermünstertal Bah
AMA|0505924|en|Dossenheim Süd|Dossenheim Süd
AMA|0506043|en|Edingen West, Edinge|Edingen West, Eding
AMA|0506100|en|Ellerstadt West|Ellerstadt West
AMA|0506802|en|Handschuhsheim Burgs|Handschuhsheim Burg
AMA|0506906|en|Berufsschule, Heidel|Berufsschule, Heide
AMA|0506924|en|Gneisenaustraße Sü|Gneisenaustraße S
AMA|0506950|en|SRH Campus, Heidelbe|SRH Campus, Heidelb
AMA|0507619|en|Käfertal Im Rott, M|Käfertal Im Rott, M
AMA|0508011|en|Hauptfriedhof, Ludwi|Hauptfriedhof, Ludw
AMA|0508014|en|Heinrich-Pesch-Haus,|Heinrich-Pesch-Haus
AMA|0508117|en|Collini-Center, Mann|Collini-Center, Man
AMA|0508142|en|Wallstadt Ost, Mannh|Wallstadt Ost, Mann
AMA|0508144|en|Universitätskliniku|Universitätskliniku
AMA|0508145|en|Konrad-Adenauer-Brü|Konrad-Adenauer-Brü
AMA|0508154|en|Lange Rötterstraße|Lange Rötterstra
AMA|0508155|en|Lessingstraße, Mann|Lessingstraße, Mann
AMA|0508160|en|Marktplatz, Mannheim|Marktplatz, Mannhei
AMA|0508167|en|Abendakademie, Mannh|Abendakademie, Mann
AMA|0508183|en|Strohmarkt, Mannheim|Strohmarkt, Mannhei
AMA|0508187|en|Theresienkrankenhaus|Theresienkrankenhau
AMA|0508505|en|Wallstadt West, Mann|Wallstadt West, Man
AMA|0508709|en|Neuostheim Duale Hoc|Neuostheim Duale Ho
AMA|0508959|en|Oggersheim Mannheime|Oggersheim Mannheim
AMA|0508965|en|Oggersheim Wilhelm-T|Oggersheim Wilhelm-
AMA|0509610|en|Schriesheim Süd|Schriesheim Süd
AMA|0509717|en|Seckenheim Deutscher|Seckenheim Deutsche
AMA|0510151|en|Eissporthalle, Viern|Eissporthalle, Vier
AMA|0510171|en|Viernheim Ost|Viernheim Ost
AMA|0511237|en|Ippesheim Mitte, Bad|Ippesheim Mitte, Ba
AMA|0513277|en|Dossenheim Nord|Dossenheim Nord
AMA|0514642|en|ZOB (Stadtmitte, Zwe|ZOB (Stadtmitte, Zw
AMA|0518183|en|Seegarten, Heidelber|Seegarten, Heidelbe
AMA|0518206|en|Stadtwerke, Heidelbe|Stadtwerke, Heidelb
AMA|0518299|en|Pfalzbau/Wilhelm-Hac|Pfalzbau/Wilhelm-Ha
AMA|0518337|en|Bonifatiuskirche, Ma|Bonifatiuskirche, M
